process,activity_type,amount,unit,geography,notes,supplier_site,resolved_geography,factor_name,factor_unit,factor_value,factor_region_used,match_type,adapted_value,adapted_unit,factor_source
smr_and_synthesis_electricity,electricity_use,218.0,kWh,,"Electricity for compressors, pumps, control systems; Ecoinvent 3.9",,US-TX,grid_climate_factor,kg CO2-eq/kWh,0.41,US-TX,exact,89.38,kg CO2-eq,US EPA eGRID 2022 ERCOT
process_water_boiler_feed,water_use,0.75,m3,,Boiler feed water for steam generation; IEA Methanol Technology 2019,,US-TX,water_scarcity_factor,m3 world-eq/m3,2.8,US-TX,exact,2.1,m3 world-eq,AWARE Texas (semi-arid regions)
natural_gas_feedstock_combustion_co2,direct_emission,423.0,kg CO2-eq,,Direct CO2 from NG feedstock carbon in SMR reactor; GREET 2023 / Ecoinvent 3.9,,US-TX,direct_emission,kg CO2-eq,1.0,N/A,direct,423.0,kg CO2-eq,Direct CO2 from NG feedstock carbon in SMR reactor; GREET 2023 / Ecoinvent 3.9
natural_gas_fuel_combustion_co2,direct_emission,265.0,kg CO2-eq,,Direct CO2 from NG fuel burned for process heat; Ecoinvent 3.9,,US-TX,direct_emission,kg CO2-eq,1.0,N/A,direct,265.0,kg CO2-eq,Direct CO2 from NG fuel burned for process heat; Ecoinvent 3.9
ng_feedstock_pipeline_transport,transport,0.03,tonne-km,,Pipeline transport of NG feedstock ~300 km; stub Phase 2,,US-TX,transport_climate_factor,kg CO2-eq/tonne-km,,,not_adapted_phase2_stub,,,transport_factor is a Phase-2 stub. Row recorded with geography only; no adapted_value computed yet.
